      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE  VALIDATION_ERR_CVRMSD 
        10  1.000000000000000E+001 -5.648305319317836E-001  1.016790076444942E+000  1.551202471749636E-005  1.091619239298443E+022 -1.091539829297731E+022  9.098281846026049E+020 -4.307380299803633E+020  9.098282107163886E+020 -4.307380560941478E+020  3.989223162302474E+021  3.989223162302476E+021  4.338110654596345E-017  3.960163299673812E-017  3.194167678064692E-007
        11  1.100000000000000E+001 -5.648129179179094E-001  1.016758366560719E+000  1.551370449317072E-005  1.091585195715442E+022 -1.091505785714731E+022  9.097998246106109E+020 -4.307245964003601E+020  9.097998507224250E+020 -4.307246225121749E+020  3.989223162302474E+021  3.989223162302476E+021  6.157121113707346E-017  4.105110453125926E-017  3.513783228927663E-007
        11  1.100000000000000E+001 -5.648129179179094E-001  1.016758366560719E+000  1.551370449317072E-005  1.091585195715442E+022 -1.091505785714731E+022  9.097998246106109E+020 -4.307245964003601E+020  9.097998507224250E+020 -4.307246225121749E+020  3.989223162302474E+021  3.989223162302476E+021  6.157121113707346E-017  4.105110453125926E-017  3.513783228927663E-007
        12  1.200000000000000E+001 -5.647953044533071E-001  1.016726657780217E+000  1.551538428203841E-005  1.091551153194168E+022 -1.091471743193456E+022  9.097714655027577E+020 -4.307111632391950E+020  9.097714916126025E+020 -4.307111893490404E+020  3.989223162302474E+021  3.989223162302476E+021  5.651839069291557E-017  4.187937397955705E-017  3.833434061522441E-007
        12  1.200000000000000E+001 -5.647953044533071E-001  1.016726657780217E+000  1.551538428203841E-005  1.091551153194168E+022 -1.091471743193456E+022  9.097714655027577E+020 -4.307111632391950E+020  9.097714916126025E+020 -4.307111893490404E+020  3.989223162302474E+021  3.989223162302476E+021  5.651839069291557E-017  4.187937397955705E-017  3.833434061522441E-007
        13  1.300000000000000E+001 -5.647776915379631E-001  1.016694950102174E+000  1.551706408408710E-005  1.091517111734585E+022 -1.091437701733873E+022  9.097431072790179E+020 -4.306977304968553E+020  9.097431333868932E+020 -4.306977566047311E+020  3.989223162302474E+021  3.989223162302476E+021  7.374542104556532E-017  3.535675207421195E-017  4.153119963637306E-007
        13  1.300000000000000E+001 -5.647776915379631E-001  1.016694950102174E+000  1.551706408408710E-005  1.091517111734585E+022 -1.091437701733873E+022  9.097431072790179E+020 -4.306977304968553E+020  9.097431333868932E+020 -4.306977566047311E+020  3.989223162302474E+021  3.989223162302476E+021  7.374542104556532E-017  3.535675207421195E-017  4.153119963637306E-007
        14  1.400000000000000E+001 -5.647600791718524E-001  1.016663243525333E+000  1.551874389930460E-005  1.091483071336661E+022 -1.091403661335949E+022  9.097147499393636E+020 -4.306842981733277E+020  9.097147760452694E+020 -4.306843242792340E+020  3.989223162302474E+021  3.989223162302476E+021  6.251797122557647E-017  3.111187115168577E-017  4.472840718864725E-007
        14  1.400000000000000E+001 -5.647600791718524E-001  1.016663243525333E+000  1.551874389930460E-005  1.091483071336661E+022 -1.091403661335949E+022  9.097147499393636E+020 -4.306842981733277E+020  9.097147760452694E+020 -4.306843242792340E+020  3.989223162302474E+021  3.989223162302476E+021  6.251797122557647E-017  3.111187115168577E-017  4.472840718864725E-007
        15  1.500000000000000E+001 -5.647424673549608E-001  1.016631538048449E+000  1.552042372767966E-005  1.091449032000363E+022 -1.091369621999651E+022  9.096863934837674E+020 -4.306708662685992E+020  9.096864195877038E+020 -4.306708923725361E+020  3.989223162302474E+021  3.989223162302476E+021  7.471804186199364E-017  4.995500110046051E-017  4.792596108714609E-007
