      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        26  2.600000000000000E+001 -1.339958059581142E+000  1.339958059581142E+000  0.000000000000000E+000  4.565513240187729E+020 -4.565513240187729E+020  1.654334032924844E+018 -1.654334032924843E+018  3.372727031056086E-030 -3.372726938081328E-030  3.989223162302474E+021  3.989223162302476E+021  3.319214981426650E-002  2.717759127227126E-019  2.333372368173807E-004
        27  2.700000000000000E+001 -1.337157409417597E+000  1.337157409417597E+000  0.000000000000000E+000  4.565513240201255E+020 -4.565513240201255E+020  1.561735534832110E+018 -1.561735534832110E+018  5.911305171617221E-030 -5.911305310648391E-030  3.989223162302474E+021  3.989223162302476E+021  3.326074740080397E-002  2.394216373985801E-019  2.424328187416598E-004
        28  2.800000000000000E+001 -1.335639600123768E+000  1.335639600123768E+000  0.000000000000000E+000  4.565513240215493E+020 -4.565513240215493E+020  1.473805821354157E+018 -1.473805821354157E+018  9.029462657524069E-030 -9.029463361348182E-030  3.989223162302474E+021  3.989223162302476E+021  3.332916324749043E-002  7.538546150522861E-019  2.515374234006848E-004
        29  2.900000000000000E+001 -1.333638474571398E+000  1.333638474571398E+000  0.000000000000000E+000  4.565513240223293E+020 -4.565513240223292E+020  1.390340743331140E+018 -1.390340743331139E+018  1.210017350407676E-029 -1.210017532979934E-029  3.989223162302474E+021  3.989223162302476E+021  3.339739698046980E-002  4.529598545378543E-019  2.606510497334988E-004
        30  3.000000000000000E+001 -1.331156271321182E+000  1.331156271321182E+000  0.000000000000000E+000  4.565513240225998E+020 -4.565513240225998E+020  1.311143288853445E+018 -1.311143288853445E+018  1.422244275632749E-029 -1.422244654077567E-029  3.989223162302474E+021  3.989223162302476E+021  3.346544822688124E-002  8.153277381681378E-019  2.697736959316402E-004
        31  3.100000000000000E+001 -1.328195747842043E+000  1.328195747842043E+000  0.000000000000000E+000  4.565513240224780E+020 -4.565513240224780E+020  1.236023430536892E+018 -1.236023430536892E+018  1.489019367818008E-029 -1.489020054945744E-029  3.989223162302474E+021  3.989223162302476E+021  3.353331661486118E-002  3.235427532413245E-021  2.789053594668349E-004
        32  3.200000000000000E+001 -1.324760175336658E+000  1.324760175336658E+000  0.000000000000000E+000  4.565513240220648E+020 -4.565513240220648E+020  1.164797971528315E+018 -1.164797971528315E+018  9.604337066840642E-030 -9.604348360470179E-030  3.989223162302474E+021  3.989223162302476E+021  3.360100177354536E-002  2.005965070096212E-019  2.880460371177836E-004
        33  3.300000000000000E+001 -1.320853332652549E+000  1.320853332652549E+000  0.000000000000000E+000  4.565513240214457E+020 -4.565513240214457E+020  1.097290389751540E+018 -1.097290389751540E+018  3.655239250509408E-029 -3.655240951276121E-029  3.989223162302474E+021  3.989223162302476E+021  3.366850333307078E-002  5.564935355750782E-019  2.971957249960444E-004
        34  3.400000000000000E+001 -1.317227614245962E+000  1.317227614245962E+000  0.000000000000000E+000  4.565513240213200E+020 -4.565513240213200E+020  1.033330681383629E+018 -1.033330681383629E+018  9.719513303060408E-029 -9.719515649059767E-029  3.989223162302474E+021  3.989223162302476E+021  3.373582092457787E-002  1.941256519447947E-019  3.063544185711068E-004
        35  3.500000000000000E+001 -1.315976335118556E+000  1.315976335118556E+000  0.000000000000000E+000  4.565513240230121E+020 -4.565513240230121E+020  9.727552026626447E+017 -9.727552026626447E+017  2.031109124600605E-028 -2.031109416861720E-028  3.989223162302474E+021  3.989223162302476E+021  3.380295418021235E-002 -4.529598545378544E-020  3.155221126943661E-004
        36  3.600000000000000E+001 -1.314248392807768E+000  1.314248392807768E+000  0.000000000000000E+000  4.565513240240060E+020 -4.565513240240060E+020  9.154065064994587E+017 -9.154065064994586E+017  3.760921476936544E-028 -3.760921792405921E-028  3.989223162302474E+021  3.989223162302476E+021  3.386990273312732E-002  2.394216373985801E-019  3.246988016224964E-004
        37  3.700000000000000E+001 -1.312045727553696E+000  1.312045727553696E+000  0.000000000000000E+000  4.565513240246119E+020 -4.565513240246119E+020  8.611331898152113E+017 -8.611331898152114E+017  6.428484789254574E-028 -6.428485047132851E-028  3.989223162302474E+021  3.989223162302476E+021  3.393666621748528E-002  6.535563615474756E-019  3.338844790401412E-004
        38  3.800000000000000E+001 -1.309370792309795E+000  1.309370792309795E+000  0.000000000000000E+000  4.565513240247506E+020 -4.565513240247505E+020  8.097897308946446E+017 -8.097897308946446E+017  1.033585517645414E-027 -1.033585522525933E-027  3.989223162302474E+021  3.989223162302476E+021  3.400324426846006E-002  1.391233838937696E-019  3.430791380814014E-004
        39  3.900000000000000E+001 -1.306226548122266E+000  1.306226548122266E+000  0.000000000000000E+000  4.565513240245014E+020 -4.565513240245014E+020  7.612363306799602E+017 -7.612363306799602E+017  1.584500977808970E-027 -1.584500936670748E-027  3.989223162302474E+021  3.989223162302476E+021  3.406963652223886E-002  2.200090722041007E-019  3.522827713510914E-004
        40  4.000000000000000E+001 -1.302616458603419E+000  1.302616458603419E+000  0.000000000000000E+000  4.565513240239595E+020 -4.565513240239595E+020  7.153387538237292E+017 -7.153387538237292E+017  2.332649543939106E-027 -2.332649418638477E-027  3.989223162302474E+021  3.989223162302476E+021  3.413584261602425E-002  2.782467677875391E-019  3.614953709449932E-004
        41  4.100000000000000E+001 -1.298544483513593E+000  1.298544483513593E+000  0.000000000000000E+000  4.565513240232069E+020 -4.565513240232068E+020  6.719681705579414E+017 -6.719681705579414E+017  3.278028818888450E-027 -3.278028555591600E-027  3.989223162302474E+021  3.989223162302476E+021  3.420186218803611E-002  7.570900425846994E-019  3.707169284694277E-004
