      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        29  2.900000000000000E+001 -1.331522906902840E+000  1.331381310133535E+000  0.000000000000000E+000  4.565513240223424E+020 -4.565513240223424E+020  1.390340743329572E+018 -1.390340743329572E+018  1.210017345541615E-029 -1.210017561267064E-029  3.989223162302474E+021  3.989223162302476E+021  3.339739271320355E-002 -2.070673620744477E-019  1.449225943396353E-003
        30  3.000000000000000E+001 -1.329052631549238E+000  1.328734115179913E+000  0.000000000000000E+000  4.565513240226225E+020 -4.565513240226225E+020  1.311143288851986E+018 -1.311143288851986E+018  1.422257367900608E-029 -1.422257799999066E-029  3.989223162302474E+021  3.989223162302476E+021  3.346544380346932E-002  3.106010431116715E-019  1.498952293785337E-003
        31  3.100000000000000E+001 -1.325438081126228E+000  1.326214438414477E+000  0.000000000000000E+000  4.565513240225156E+020 -4.565513240225155E+020  1.236023430535556E+018 -1.236023430535556E+018  1.489019325880297E-029 -1.489020090342626E-029  3.989223162302474E+021  3.989223162302476E+021  3.353331203472866E-002  2.588342025930596E-019  1.548662289012434E-003
        32  3.200000000000000E+001 -1.322870093980252E+000  1.321638689868134E+000  0.000000000000000E+000  4.565513240221250E+020 -4.565513240221250E+020  1.164797971527116E+018 -1.164797971527115E+018  9.604629897028590E-030 -9.604642152165153E-030  3.989223162302474E+021  3.989223162302476E+021  3.360099703611979E-002  2.588342025930596E-020  1.598355939392579E-003
        33  3.300000000000000E+001 -1.317340397475347E+000  1.319023538659994E+000  0.000000000000000E+000  4.565513240215379E+020 -4.565513240215378E+020  1.097290389750493E+018 -1.097290389750493E+018  3.655239245492554E-029 -3.655241039025236E-029  3.989223162302474E+021  3.989223162302476E+021  3.366849843778219E-002  1.294171012965298E-019  1.648033255234748E-003
        34  3.400000000000000E+001 -1.315426980116218E+000  1.313293699218955E+000  0.000000000000000E+000  4.565513240214632E+020 -4.565513240214631E+020  1.033330681382770E+018 -1.033330681382770E+018  9.719513399110045E-029 -9.719515781172173E-029  3.989223162302474E+021  3.989223162302476E+021  3.373581587085876E-002  7.247357672605670E-019  1.697694246843725E-003
        35  3.500000000000000E+001 -1.311585614047783E+000  1.314169817846716E+000  0.000000000000000E+000  4.565513240232325E+020 -4.565513240232325E+020  9.727552026620116E+017 -9.727552026620116E+017  2.031109155237185E-028 -2.031109435174637E-028  3.989223162302474E+021  3.989223162302476E+021  3.380294896749771E-002  1.294171012965298E-019  1.747338924521964E-003
        36  3.600000000000000E+001 -1.312405737271910E+000  1.309373001655100E+000  0.000000000000000E+000  4.565513240243284E+020 -4.565513240243282E+020  9.154065064990828E+017 -9.154065064990826E+017  3.760921544773692E-028 -3.760921814708042E-028  3.989223162302474E+021  3.989223162302476E+021  3.386989736085465E-002  4.917849849268133E-019  1.796967298571787E-003
        37  3.700000000000000E+001 -1.306989811435993E+000  1.310136864360719E+000  0.000000000000000E+000  4.565513240250825E+020 -4.565513240250825E+020  8.611331898151537E+017 -8.611331898151535E+017  6.428484910735468E-028 -6.428485063560327E-028  3.989223162302474E+021  3.989223162302476E+021  3.393666068509457E-002  2.588342025930596E-020  1.846579379297092E-003
        38  3.800000000000000E+001 -1.307365905597557E+000  1.304676716302887E+000  0.000000000000000E+000  4.565513240254398E+020 -4.565513240254398E+020  8.097897308949893E+017 -8.097897308949892E+017  1.033585536819868E-027 -1.033585521578757E-027  3.989223162302474E+021  3.989223162302476E+021  3.400323857539381E-002  3.817804488247630E-019  1.896175177005061E-003
        39  3.900000000000000E+001 -1.301863713117364E+000  1.304096142535924E+000  0.000000000000000E+000  4.565513240254439E+020 -4.565513240254439E+020  7.612363306807277E+017 -7.612363306807276E+017  1.584502421849307E-027 -1.584502346291678E-027  3.989223162302474E+021  3.989223162302476E+021  3.406963066794209E-002 -2.329507823337537E-019  1.945754702007797E-003
        40  4.000000000000000E+001 -1.300331425260163E+000  1.298554131289175E+000  0.000000000000000E+000  4.565513240253284E+020 -4.565513240253284E+020  7.153387538251291E+017 -7.153387538251291E+017  2.332649573776606E-027 -2.332649394306758E-027  3.989223162302474E+021  3.989223162302476E+021  3.413583659994449E-002  3.235427532413245E-019  1.995317964624000E-003
        41  4.100000000000000E+001 -1.294751866001441E+000  1.296076164773718E+000  0.000000000000000E+000  4.565513240250677E+020 -4.565513240250677E+020  6.719681705599855E+017 -6.719681705599854E+017  3.278028843994470E-027 -3.278028501091516E-027  3.989223162302474E+021  3.989223162302476E+021  3.420185600962343E-002  7.635608976495259E-019  2.044864975180179E-003
        42  4.200000000000000E+001 -1.294488307575528E+000  1.293613436702026E+000  0.000000000000000E+000  4.565513240270472E+020 -4.565513240270472E+020  6.310010016877512E+017 -6.310010016877512E+017  4.379678311340526E-027 -4.379677729168715E-027  3.989223162302474E+021  3.989223162302476E+021  3.426768853622061E-002  2.717759127227126E-019  2.094395744012503E-003
        43  4.300000000000000E+001 -1.292349738020385E+000  1.292777465727737E+000  0.000000000000000E+000  4.565513240292388E+020 -4.565513240292388E+020  5.923187562654577E+017 -5.923187562654577E+017  5.722572127826560E-027 -5.722571217160325E-027  3.989223162302474E+021  3.989223162302476E+021  3.433333381999908E-002  1.682422316854888E-019  2.143910281467318E-003
        44  4.400000000000000E+001 -1.290569574006288E+000  1.290587760786533E+000  0.000000000000000E+000  4.565513240311323E+020 -4.565513240311323E+020  5.558078824332887E+017 -5.558078824332886E+017  7.456498569831233E-027 -7.456497236647376E-027  3.989223162302474E+021  3.989223162302476E+021  3.439879150224505E-002  3.882513038895894E-020  2.193408597903380E-003
        45  4.500000000000000E+001 -1.288329624853036E+000  1.287867264756679E+000  0.000000000000000E+000  4.565513240327513E+020 -4.565513240327513E+020  5.213596138911214E+017 -5.213596138911213E+017  9.149454370538366E-027 -9.149452533672120E-027  3.989223162302474E+021  3.989223162302476E+021  3.446406122527002E-002  2.588342025930596E-020  2.242890703692253E-003
