      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        38  3.800000000000000E+001 -1.421873949077850E+000  1.418949916003049E+000  0.000000000000000E+000  4.565513240148115E+020 -4.565513240148115E+020  6.557520501402136E+018 -6.557520501402136E+018  1.180392334812205E-030 -1.180392334812205E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606479419007E-002 -1.035336810372238E-018  1.844787973911383E-003
        39  3.900000000000000E+001 -1.419299302028211E+000  1.421732220208897E+000  0.000000000000000E+000  4.565513240150631E+020 -4.565513240150632E+020  6.557520501405752E+018 -6.557520501405751E+018  1.180392334812856E-030 -1.180392334812856E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606465792037E-002 -5.694352457047312E-019  1.892919407414503E-003
        40  4.000000000000000E+001 -1.421557065060558E+000  1.419615170592905E+000  0.000000000000000E+000  4.565513240154911E+020 -4.565513240154911E+020  6.557520501411897E+018 -6.557520501411896E+018  1.180392334813962E-030 -1.180392334813962E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606452165076E-002 -1.268287592705992E-018  1.941029865741078E-003
        41  4.100000000000000E+001 -1.419897520923449E+000  1.421348516795529E+000  0.000000000000000E+000  4.565513240159830E+020 -4.565513240159830E+020  6.557520501418964E+018 -6.557520501418963E+018  1.180392334815234E-030 -1.180392334815234E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606438538123E-002 -5.176684051861192E-019  1.989119373710890E-003
        42  4.200000000000000E+001 -1.421106610822626E+000  1.420146354557527E+000  0.000000000000000E+000  4.565513240167041E+020 -4.565513240167042E+020  6.557520501429323E+018 -6.557520501429321E+018  1.180392334817099E-030 -1.180392334817099E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606424911180E-002 -3.623678836302835E-019  2.037187956089525E-003
        43  4.300000000000000E+001 -1.420361675340239E+000  1.420831384789182E+000  0.000000000000000E+000  4.565513240175837E+020 -4.565513240175837E+020  6.557520501441955E+018 -6.557520501441954E+018  1.180392334819373E-030 -1.180392334819373E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606411284246E-002 -2.200090722041007E-019  2.085235637587910E-003
        44  4.400000000000000E+001 -1.420522878573288E+000  1.420543489419845E+000  0.000000000000000E+000  4.565513240187969E+020 -4.565513240187970E+020  6.557520501459380E+018 -6.557520501459379E+018  1.180392334822509E-030 -1.180392334822510E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606397657321E-002 -2.588342025930596E-020  2.133262442863400E-003
        45  4.500000000000000E+001 -1.420691805243332E+000  1.420181134275747E+000  0.000000000000000E+000  4.565513240202501E+020 -4.565513240202501E+020  6.557520501480252E+018 -6.557520501480251E+018  1.180392334826267E-030 -1.180392334826267E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606384030405E-002 -1.015924245177759E-018  2.181268396519227E-003
        46  4.600000000000000E+001 -1.419806196211872E+000  1.420806633551675E+000  0.000000000000000E+000  4.565513240222842E+020 -4.565513240222840E+020  6.557520501509467E+018 -6.557520501509467E+018  1.180392334831525E-030 -1.180392334831525E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606370403498E-002 -6.438500789502358E-019  2.229253523105131E-003
        47  4.700000000000000E+001 -1.420887987374931E+000  1.419398110903007E+000  0.000000000000000E+000  4.565513240244851E+020 -4.565513240244851E+020  6.557520501541081E+018 -6.557520501541081E+018  1.180392334837216E-030 -1.180392334837216E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606356776601E-002  1.358879563613563E-019  2.277217847117207E-003
        48  4.800000000000000E+001 -1.418956927067893E+000  1.420935882027019E+000  0.000000000000000E+000  4.565513240278768E+020 -4.565513240278768E+020  6.557520501589798E+018 -6.557520501589796E+018  1.180392334845985E-030 -1.180392334845985E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606343149712E-002 -4.659015646675073E-019  2.325161392998347E-003
        49  4.900000000000000E+001 -1.420950335100339E+000  1.418482695613754E+000  0.000000000000000E+000  4.565513240313136E+020 -4.565513240313136E+020  6.557520501639159E+018 -6.557520501639159E+018  1.180392334854871E-030 -1.180392334854871E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606329522831E-002 -7.894443179088319E-019  2.373084185138310E-003
        50  5.000000000000000E+001 -1.417975469627244E+000  1.420931366460086E+000  0.000000000000000E+000  4.565513240364469E+020 -4.565513240364469E+020  6.557520501712890E+018 -6.557520501712889E+018  1.180392334868143E-030 -1.180392334868143E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606315895961E-002 -4.659015646675073E-019  2.420986247873896E-003
        51  5.100000000000000E+001 -1.420878998238403E+000  1.417435304365114E+000  0.000000000000000E+000  4.565513240421614E+020 -4.565513240421613E+020  6.557520501794969E+018 -6.557520501794967E+018  1.180392334882917E-030 -1.180392334882918E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606302269099E-002 -3.623678836302835E-019  2.468867605489219E-003
        52  5.200000000000000E+001 -1.417562415845202E+000  1.420793254828224E+000  0.000000000000000E+000  4.565513240488189E+020 -4.565513240488190E+020  6.557520501890592E+018 -6.557520501890591E+018  1.180392334900130E-030 -1.180392334900130E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606288642246E-002 -3.106010431116715E-019  2.516728282215608E-003
        53  5.300000000000000E+001 -1.420674162876975E+000  1.417932542200659E+000  0.000000000000000E+000  4.565513240582345E+020 -4.565513240582346E+020  6.557520502025829E+018 -6.557520502025828E+018  1.180392334924474E-030 -1.180392334924474E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606275015402E-002 -2.847176228523656E-019  2.564568302232199E-003
        54  5.400000000000000E+001 -1.418269284037357E+000  1.420521751279951E+000  0.000000000000000E+000  4.565513240678459E+020 -4.565513240678459E+020  6.557520502163879E+018 -6.557520502163879E+018  1.180392334949323E-030 -1.180392334949324E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606261388567E-002  2.458924924634066E-019  2.612387689665807E-003
        55  5.500000000000000E+001 -1.420336051173564E+000  1.418572638796760E+000  0.000000000000000E+000  4.565513240805195E+020 -4.565513240805194E+020  6.557520502345911E+018 -6.557520502345909E+018  1.180392334982090E-030 -1.180392334982090E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606247761742E-002  1.553005215558358E-019  2.660186468591394E-003
        56  5.600000000000000E+001 -1.418842606215372E+000  1.420117095928272E+000  0.000000000000000E+000  4.565513240962426E+020 -4.565513240962426E+020  6.557520502571745E+018 -6.557520502571744E+018  1.180392335022742E-030 -1.180392335022742E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606234134925E-002 -6.729689267419550E-019  2.707964663031645E-003
        57  5.700000000000000E+001 -1.419864921141374E+000  1.419079188321004E+000  0.000000000000000E+000  4.565513241123420E+020 -4.565513241123420E+020  6.557520502802984E+018 -6.557520502802982E+018  1.180392335064366E-030 -1.180392335064366E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606220508117E-002 -6.988523470012610E-019  2.755722296957760E-003
        58  5.800000000000000E+001 -1.419282389428889E+000  1.419579564629501E+000  0.000000000000000E+000  4.565513241337327E+020 -4.565513241337327E+020  6.557520503110221E+018 -6.557520503110220E+018  1.180392335119671E-030 -1.180392335119671E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606206881318E-002  2.329507823337537E-019  2.803459394289557E-003
        59  5.900000000000000E+001 -1.419261066420959E+000  1.419452216137472E+000  0.000000000000000E+000  4.565513241598221E+020 -4.565513241598221E+020  6.557520503484947E+018 -6.557520503484946E+018  1.180392335187123E-030 -1.180392335187124E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606193254529E-002 -8.282694482977908E-019  2.851175978895332E-003
        60  6.000000000000000E+001 -1.419588677324042E+000  1.418909468747788E+000  0.000000000000000E+000  4.565513241866125E+020 -4.565513241866125E+020  6.557520503869741E+018 -6.557520503869740E+018  1.180392335256389E-030 -1.180392335256389E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606179627748E-002 -3.235427532413245E-019  2.898872074592268E-003
        61  6.100000000000000E+001 -1.418524816037674E+000  1.419691784140052E+000  0.000000000000000E+000  4.565513242185785E+020 -4.565513242185785E+020  6.557520504328876E+018 -6.557520504328875E+018  1.180392335339036E-030 -1.180392335339036E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606166000976E-002  0.000000000000000E+000  2.946547705146525E-003
        62  6.200000000000000E+001 -1.419761550006273E+000  1.418107154905569E+000  0.000000000000000E+000  4.565513242614971E+020 -4.565513242614971E+020  6.557520504945322E+018 -6.557520504945322E+018  1.180392335449999E-030 -1.180392335450000E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606152374213E-002 -9.188614192053617E-019  2.994202894273437E-003
        63  6.300000000000000E+001 -1.417656534145179E+000  1.419797990607646E+000  0.000000000000000E+000  4.565513243056727E+020 -4.565513243056727E+020  6.557520505579823E+018 -6.557520505579821E+018  1.180392335564213E-030 -1.180392335564214E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606138747459E-002 -1.294171012965298E-019  3.041837665637640E-003
        64  6.400000000000000E+001 -1.419801123887973E+000  1.417173004720163E+000  0.000000000000000E+000  4.565513243511355E+020 -4.565513243511355E+020  6.557520506232813E+018 -6.557520506232812E+018  1.180392335681756E-030 -1.180392335681756E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606125120714E-002  2.782467677875391E-019  3.089452042853391E-003
        65  6.500000000000000E+001 -1.416656619755193E+000  1.419770970044298E+000  0.000000000000000E+000  4.565513244156534E+020 -4.565513244156534E+020  6.557520507159494E+018 -6.557520507159493E+018  1.180392335848564E-030 -1.180392335848564E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606111493978E-002 -3.106010431116715E-019  3.137046049484343E-003
        66  6.600000000000000E+001 -1.419707551521137E+000  1.416172679270055E+000  0.000000000000000E+000  4.565513244876775E+020 -4.565513244876774E+020  6.557520508193988E+018 -6.557520508193987E+018  1.180392336034779E-030 -1.180392336034779E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606097867251E-002 -8.994488540108821E-019  3.184619709044378E-003
        67  6.700000000000000E+001 -1.416563352325082E+000  1.419610893004408E+000  0.000000000000000E+000  4.565513245619597E+020 -4.565513245619597E+020  6.557520509260916E+018 -6.557520509260915E+018  1.180392336226832E-030 -1.180392336226832E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606084240533E-002 -1.423588114261828E-019  3.232173044996890E-003
        68  6.800000000000000E+001 -1.419481021415198E+000  1.416920773182973E+000  0.000000000000000E+000  4.565513246385630E+020 -4.565513246385630E+020  6.557520510361181E+018 -6.557520510361181E+018  1.180392336424886E-030 -1.180392336424886E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606070613823E-002 -2.458924924634066E-019  3.279706080755923E-003
        69  6.900000000000000E+001 -1.417244937538828E+000  1.419317965903240E+000  0.000000000000000E+000  4.565513247493473E+020 -4.565513247493474E+020  6.557520511952396E+018 -6.557520511952395E+018  1.180392336711314E-030 -1.180392336711314E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606056987124E-002 -2.135382171392742E-019  3.327218839685486E-003
        70  7.000000000000000E+001 -1.419121757840238E+000  1.417535843366444E+000  0.000000000000000E+000  4.565513248690525E+020 -4.565513248690525E+020  6.557520513671740E+018 -6.557520513671739E+018  1.180392337020806E-030 -1.180392337020807E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606043360432E-002 -5.451695392116318E-019  3.374711345100323E-003
        71  7.100000000000000E+001 -1.417793490914935E+000  1.418892430812890E+000  0.000000000000000E+000  4.565513249927002E+020 -4.565513249927002E+020  6.557520515447712E+018 -6.557520515447711E+018  1.180392337340492E-030 -1.180392337340492E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606029733750E-002 -8.476820134922703E-019  3.422183620265757E-003
        72  7.200000000000000E+001 -1.418630020615776E+000  1.418017882705060E+000  0.000000000000000E+000  4.565513251204525E+020 -4.565513251204525E+020  6.557520517282639E+018 -6.557520517282639E+018  1.180392337670789E-030 -1.180392337670790E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606016107076E-002 -1.067691085696371E-018  3.469635688397947E-003
