      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
       270  6.750000000000000E+001  2.500000000000000E-001  9.804333910991961E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       272  6.800000000000000E+001  2.500000000000000E-001  9.804342499000793E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       274  6.850000000000000E+001  2.500000000000000E-001  9.804351102006722E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       276  6.900000000000000E+001  2.500000000000000E-001  9.804359722779475E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       278  6.950000000000000E+001  2.500000000000000E-001  9.804368363790124E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       280  7.000000000000000E+001  2.500000000000000E-001  9.804377025165701E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       282  7.050000000000000E+001  2.500000000000000E-001  9.804385705846629E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       284  7.100000000000000E+001  2.500000000000000E-001  9.804393150902232E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       286  7.150000000000000E+001  2.500000000000000E-001  9.804400420499453E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       288  7.200000000000000E+001  2.500000000000000E-001  9.804407718965374E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       290  7.250000000000000E+001  2.500000000000000E-001  9.804415052520827E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       292  7.300000000000000E+001  2.500000000000000E-001  9.804422433597439E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       294  7.350000000000000E+001  2.500000000000000E-001  9.804429852825372E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       296  7.400000000000000E+001  2.500000000000000E-001  9.804437283671044E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       298  7.450000000000000E+001  2.500000000000000E-001  9.804444723176195E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       300  7.500000000000000E+001  2.500000000000000E-001  9.804452178871097E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       302  7.550000000000000E+001  2.500000000000000E-001  9.804459655595705E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       304  7.600000000000000E+001  2.500000000000000E-001  9.804467212256787E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       306  7.650000000000000E+001  2.500000000000000E-001  9.804475198928317E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       308  7.700000000000000E+001  2.500000000000000E-001  9.804483205227381E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       310  7.750000000000000E+001  2.500000000000000E-001  9.804491230205841E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       312  7.800000000000000E+001  2.500000000000000E-001  9.804499272235928E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       314  7.850000000000000E+001  2.500000000000000E-001  9.804507200005780E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       316  7.900000000000000E+001  2.500000000000000E-001  9.804514404180587E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       318  7.950000000000000E+001  2.500000000000000E-001  9.804521615220581E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       320  8.000000000000000E+001  2.500000000000000E-001  9.804528838614932E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
